1.2	176	7.71	-78.28
2.5	190	7.7	-81.1
1.9	214	7.7	-82.96
2.5	225	7.71	-84.38
2.5	219	7.7	-85.4
1.7	203	7.7	-85.76
5.1	205	7.72	-83.99
7.3	214	7.7	-74.99
4.8	240	7.62	-58.94
5.2	225	7.6	-52.89
8.4	203	7.62	-48.94
10	193	7.62	-38.35
10.5	177	7.64	-34.26
7.6	171	7.62	-33.61
2.9	261	7.53	-30.24
3.8	311	7.51	-27.76
1.6	23	7.53	-29.1
3.9	97	7.53	-36.38
4.4	101	7.51	-49.54
3.4	95	7.53	-60
3.2	94	7.62	-62.88
4.2	110	7.62	-68.68
3.3	105	7.61	-69.19
1.5	172	7.64	-72.97
0.5	251	7.7	-74.56
1.6	177	7.71	-78.13
2.7	189	7.7	-80.78
3.7	216	7.7	-82.05
3.7	216	7.73	-83.03
2.5	202	7.7	-84.57
1.3	191	7.62	-85.84
3.6	204	7.64	-81.98
7.1	213	7.68	-74.29
8.7	224	7.62	-65.51
8.3	232	7.6	-56.44
6.1	220	7.62	-47.41
6.7	164	7.62	-39.73
10	146	7.58	-36.75
7.7	150	7.53	-35.09
3.5	253	7.53	-30.96
5.3	278	7.56	-26.86
2.3	254	7.53	-27.22
2.2	122	7.45	-36.6
4	79	7.45	-51.68
3.8	86	7.51	-52.38
3.3	93	7.57	-59.4
3	101	7.62	-68.57
3.2	124	7.62	-70.51
3	163	7.62	-72.48
1.1	219	7.7	-77.37
1.9	185	7.7	-79.38
2.4	184	7.7	-81.11
2.5	202	7.7	-82.51
3.2	202	7.66	-84.18
3	194	7.62	-85.38
2	185	7.62	-85.37
5.4	200	7.64	-83.73
7.9	210	7.65	-75.57
5.1	241	7.62	-59.73
5.3	265	7.56	-49.9
4	234	7.53	-44.93
6.6	158	7.53	-40.43
7.4	165	7.53	-37.89
4.8	186	7.53	-36.22
1.7	108	7.53	-33.39
3.7	68	7.51	-29.01
4.2	73	7.48	-28.02
4	82	7.45	-36.64
4	84	7.45	-51.92
3.9	82	7.48	-52.49
3.4	88	7.53	-64
2.2	117	7.59	-70.51
1.6	162	7.62	-71.83
0.8	189	7.62	-74.24
1.6	207	7.7	-77.38
0.3	102	7.7	-79.93
1.3	196	7.7	-81.53
5.8	209	7.7	-81.99
4.6	215	7.66	-83.28
1.6	225	7.62	-84.88
1.9	199	7.62	-85.47
2.6	190	7.62	-83.31
4	210	7.62	-74.81
7.7	227	7.62	-60.17
8.5	230	7.61	-51.85
6.5	222	7.58	-46.75
4.6	198	7.53	-40.12
3.1	192	7.52	-37.48
2.5	198	7.53	-36.53
3.6	181	7.53	-33.26
4.6	169	7.45	-28.64
4.6	158	7.45	-27.76
3.5	131	7.45	-36.46
3.3	79	7.45	-51.52
3.3	81	7.47	-51.86
3.9	93	7.53	-63.24
3.5	105	7.62	-68.54
2.5	117	7.66	-71.28
1.4	139	7.65	-74.16
0.9	213	7.62	-77.11
1.7	217	7.7	-78.23
4.2	184	7.62	-79.2
3.8	229	7.62	-81.62
3.3	233	7.63	-83.49
2.5	203	7.62	-84.66
2.4	203	7.62	-84.81
4.4	207	7.62	-81.16
6.9	212	7.62	-74.16
8.3	221	7.62	-65.26
8.6	227	7.62	-55.64
7.9	216	7.53	-46.46
8.1	187	7.53	-39.15
7.2	188	7.53	-35.41
5.2	182	7.53	-33.47
7	128	7.53	-30.88
7.9	111	7.45	-27.39
5.8	99	7.45	-27.35
4	84	7.45	-36.16
4.3	81	7.45	-50.82
4	80	7.49	-51.81
3.7	84	7.53	-63.32
3.6	105	7.53	-68.82
2.5	126	7.57	-71.03
1.5	169	7.62	-73.24
1.8	192	7.67	-76.2
2.4	189	7.7	-79.66
2.9	190	7.62	-80.62
2.3	191	7.58	-81.78
1.2	195	7.58	-83.08
0.6	210	7.6	-84.41
1.2	207	7.62	-85.64
3.3	202	7.62	-85.01
4.7	213	7.62	-74.17
4.8	240	7.62	-55.42
5.9	229	7.59	-57.29
8.1	207	7.56	-47.65
6.4	199	7.53	-39.37
6.1	175	7.53	-35.77
6.2	158	7.53	-34.07
3.6	148	7.53	-31.82
2.4	153	7.49	-28.04
2.6	161	7.45	-27.5
2.6	135	7.45	-36.36
3.7	85	7.45	-51.64
3.9	86	7.49	-52.29
3.5	93	7.53	-64.05
3.6	105	7.53	-68.85
2.1	122	7.57	-71.55
0.7	192	7.62	-74.22
0.6	251	7.62	-75.92
1.3	194	7.62	-79.21
2.1	188	7.62	-81.78
2.7	194	7.62	-82.92
2.8	208	7.62	-83.19
2.1	213	7.62	-85.56
1.7	194	7.62	-85.58
2.8	199	7.62	-83.17
4.1	215	7.62	-74.74
4.8	227	7.62	-59.73
5.8	206	7.58	-50.78
7.1	190	7.53	-45.89
6.7	189	7.53	-40.5
6.8	177	7.53	-37.37
6.5	161	7.53	-35.23
4.8	139	7.47	-31.75
5.2	131	7.45	-27.45
6.1	133	7.45	-27.07
5.5	125	7.45	-36.32
4.1	87	7.45	-51.85
3.6	83	7.49	-52.68
3.7	92	7.53	-64.47
2.6	118	7.53	-69.51
1.5	152	7.57	-72.63
0.9	210	7.62	-74.99
1.3	251	7.62	-75
2	208	7.62	-78.27
2.5	197	7.62	-81.27
2.1	198	7.62	-83.64
1.5	205	7.62	-84.74
1.6	208	7.62	-84.64
2.3	212	7.62	-84.97
2.9	203	7.62	-82.61
4.8	215	7.62	-74.21
8.9	229	7.62	-60.44
10.1	227	7.58	-52.27
8.5	210	7.53	-46.29
7.6	176	7.53	-37.9
7	199	7.51	-33.35
5.1	157	7.48	-31.97
3	140	7.45	-30.55
3.5	92	7.45	-27.43
5.6	77	7.45	-27.24
5.9	78	7.45	-36.19
4	88	7.45	-51.34
4.4	89	7.43	-51.68
3.5	106	7.45	-63.47
2.5	128	7.53	-69.26
1	141	7.57	-70.41
0.5	250	7.58	-72.31
1.7	231	7.62	-77.55
0.7	183	7.62	-79.55
1.7	196	7.62	-80.85
5.1	215	7.62	-81.4
5.8	215	7.58	-83.13
4	210	7.54	-85.23
1.8	196	7.53	-86.07
2.1	206	7.58	-83.49
6.4	215	7.6	-74.1
5.9	229	7.53	-60.05
8.1	229	7.52	-51.57
9.2	214	7.53	-45.91
7.1	174	7.53	-39.07
6.9	163	7.49	-35.62
5.1	169	7.45	-34.45
2.7	118	7.45	-32.52
4	85	7.45	-28.75
4.8	89	7.45	-28.01
4.7	94	7.36	-36.65
